Magnitude,amax,Liq,Avg Depth,Depth to GWT,sigvc,sig'vc,Tip,Sleeve,Friction,n,Q,I c,PI,Lab FC,I c est. FC,Repr. FC,C N,qc1N,Iqc1N,"qc1N,cs",rd,CSR,K sigma,MSF,"CSR for M=7.5,sig=1"
7.6,0.162,1,4.4,1.1,82,49,39.8,0.39,1,0.5,55.8,2.11,0,3,32,3,1.54,61.2,0,61.2,0.97,0.17,1.06,1,0.161
7.6,0.162,1,3.1,1.4,56,40,30,0.3,1.02,0.5,47,2.18,0,5,37,5,1.7,51,0.1,51.1,0.98,0.147,1.07,1,0.138
7.6,0.162,0,5.5,1.7,98,61,124,1.6,1.3,0.5,158.4,1.84,0,5,10,5,1.23,152,0.2,152.1,0.96,0.163,1.08,0.98,0.154
6.33,0.19,1,2.9,2,52,43,17,0.13,0.79,0.5,25.2,2.35,0,,51,51,1.59,27,53.6,80.6,0.97,0.144,1.08,1.08,0.123
6.33,0.19,1,3,2.2,54,46,19,0.18,0.97,0.5,27.4,2.37,0,,52,52,1.53,29,54.5,83.5,0.96,0.139,1.07,1.09,0.12
6.33,0.19,1,2.3,2,41,38,30,0.24,0.81,0.5,48.3,2.11,0,,32,32,1.64,49.3,47.4,96.7,0.98,0.13,1.1,1.11,0.106
5.9,0.32,1,3.9,2.7,69,57,21.4,0.44,2.12,0.5,27.5,2.55,0,85,67,85,1.35,28.8,61.3,90.1,0.94,0.235,1.06,1.14,0.195
5.9,0.09,0,3.2,1.5,58,41,32.2,0.25,0.8,0.5,49.4,2.1,0,20,31,20,1.62,52.1,30.5,82.7,0.95,0.078,1.08,1.12,0.064
5.9,0.2,1,3.5,2.1,62,49,14,0.08,0.61,0.5,19.3,2.41,0,64,55,64,1.5,21,55.6,76.6,0.95,0.157,1.06,1.11,0.133
5.9,0.2,0,2.4,2.1,42,39,64,0.69,1.08,0.5,102.3,1.92,0,18,17,18,1.52,97.4,31.5,128.9,0.97,0.136,1.1,1.3,0.095
5.9,0.26,1,4.8,1.2,90,54,53.3,0.79,1.5,0.5,71.6,2.13,1,30,34,30,1.33,70.9,49.7,120.6,0.92,0.258,1.08,1.25,0.19
7.7,0.17,1,1.8,0.8,33,23,22,0.25,1.15,0.5,45.3,2.22,0,5,41,5,1.7,37.4,0.1,37.5,0.99,0.156,1.09,0.99,0.144
7.7,0.17,1,4.5,1,84,49,21,0.15,0.74,0.5,28.8,2.29,0,5,46,5,1.66,34.8,0.1,34.9,0.97,0.182,1.04,0.99,0.175
7.7,0.17,0,2.9,2.4,52,47,39,0.38,0.99,0.5,56.6,2.1,0,5,31,5,1.59,61.9,0.1,62,0.99,0.12,1.06,0.99,0.114
6.88,0.3,1,2.8,1.6,50,38,49.1,0.68,1.4,0.5,79,2.08,0,2,30,2,1.69,83,0,83,0.98,0.249,1.09,1.04,0.219
6.88,0.5,1,2.4,0.8,44,29,56.9,1.04,1.85,0.5,106,2.07,0,20,29,20,1.7,96.7,36.6,133.2,0.98,0.493,1.1,1.11,0.404
6.88,0.5,1,3.4,2.4,60,51,70,2,2.88,0.5,97.8,2.24,0,30,42,30,1.32,92.7,54.1,146.8,0.97,0.372,1.1,1.14,0.297
6.88,0.5,1,7.3,6.8,129,124,81.9,2.11,2.62,0.5,72.7,2.3,0,20,47,20,0.91,74.3,33.5,107.8,0.9,0.306,0.98,1.07,0.293
6.6,0.37,1,2.8,1.2,51,35,67.3,0.74,1.11,0.5,113.1,1.9,0,35,15,35,1.5,100.9,61.7,162.6,0.97,0.341,1.1,1.28,0.243
6.6,0.4,1,7.2,1.7,134,79,23.1,0.22,1,0.5,24.5,2.41,0,30,56,30,1.15,26.6,40.7,67.3,0.89,0.392,1.02,1.05,0.366
6.6,0.4,0,4.2,1.5,77,51,75.3,0.31,0.41,0.5,104.7,1.67,0,15,0,15,1.36,102.1,23.2,125.4,0.95,0.373,1.09,1.14,0.3
6.6,0.39,1,5.5,2.5,100,71,59.5,0.23,0.39,0.5,69.9,1.82,0,5,8,5,1.22,72.9,0.1,73,0.93,0.331,1.03,1.05,0.305
6.6,0.43,1,2.7,0.5,50,29,33.4,0.22,0.65,0.5,61.9,1.97,0,1,21,1,1.7,56.8,0,56.8,0.97,0.48,1.1,1.04,0.421
6.6,0.37,0,1.9,0.9,35,25,92,0.3,0.33,0.5,184.5,1.41,0,1,0,1,1.7,156.4,0,156.4,0.98,0.33,1.1,1.25,0.24
6.6,0.28,1,5.1,1.2,93,54,60,0.3,0.51,0.5,80.6,1.82,0,1,8,1,1.4,83.9,0,83.9,0.93,0.291,1.06,1.06,0.259
6.6,0.31,1,8,2.5,148,94,72,0.22,0.31,0.5,73,1.76,0,5,4,5,1.04,74.9,0.1,75.1,0.88,0.277,1.01,1.05,0.261
6.6,0.27,1,5.5,1.2,102,60,59.9,0.19,0.32,0.5,76.5,1.75,0,1,3,1,1.33,79.9,0,79.9,0.93,0.279,1.05,1.06,0.251
6.6,0.42,1,7.8,1.6,144,84,75.1,0.28,0.38,0.5,80.6,1.76,0,5,3,5,1.1,82.9,0.1,83,0.88,0.413,1.02,1.06,0.382
6.6,0.41,0,5.9,2.1,109,72,79.1,0.25,0.32,0.5,92.7,1.67,0,5,0,5,1.19,94.5,0.2,94.6,0.92,0.372,1.04,1.08,0.333
6.6,0.44,1,3.8,0.8,70,41,36,0.12,0.34,0.5,55.7,1.88,0,5,13,5,1.7,61.2,0.1,61.3,0.96,0.471,1.07,1.04,0.422
6.6,0.44,1,1.9,0.6,35,22,36.1,0.01,0.03,0.5,75.8,1.62,0,5,0,5,1.7,61.4,0.1,61.5,0.98,0.44,1.1,1.04,0.383
6.6,0.26,1,5,1.3,93,56,39.8,0.12,0.31,0.5,52,1.89,0,5,14,5,1.43,57,0.1,57.1,0.94,0.26,1.04,1.04,0.239
6.6,0.27,0,4.4,1.4,80,51,30,0.3,1.03,0.5,41.1,2.23,0,5,41,5,1.56,46.8,0.1,47,0.95,0.26,1.05,1.04,0.24
6.6,0.26,0,4.7,4.4,83,80,136.2,0.66,0.49,0.5,152,1.58,0,5,0,5,1.1,149.7,0.2,149.9,0.94,0.165,1.04,1.22,0.13
6.6,0.27,1,4.1,2.4,74,57,43,0.12,0.28,0.5,56.1,1.85,0,10,11,10,1.4,60,6.6,66.6,0.95,0.217,1.05,1.05,0.198
6.22,0.09,0,3.5,2.1,62,49,14,0.08,0.61,0.5,19.3,2.41,0,64,55,64,1.5,21,55.6,76.6,0.95,0.071,1.06,1.08,0.062
6.22,0.133,0,4.8,1.2,90,54,53.3,0.79,1.5,0.5,71.6,2.13,1,30,34,30,1.33,70.9,49.7,120.6,0.93,0.133,1.08,1.2,0.103
6.54,0.174,0,3.9,2.7,69,57,21.4,0.44,2.12,0.5,27.5,2.55,0,85,67,85,1.35,28.8,61.3,90.1,0.95,0.129,1.06,1.08,0.114
6.54,0.2,0,3.5,2.1,62,49,14,0.08,0.61,0.5,19.3,2.41,0,64,55,64,1.5,21,55.6,76.6,0.96,0.159,1.06,1.06,0.141
6.54,0.18,0,2.4,2.1,42,39,64,0.69,1.08,0.5,102.3,1.92,0,18,17,18,1.52,97.4,31.5,128.9,0.98,0.123,1.1,1.16,0.096
6.54,0.206,1,4.8,1.2,90,54,53.3,0.79,1.5,0.5,71.6,2.13,1,30,34,30,1.33,70.9,49.7,120.6,0.94,0.208,1.08,1.14,0.169
6.93,0.28,1,3.6,1.8,64,47,47.5,0.23,0.49,0.5,68.7,1.87,0,1,13,1,1.54,73.2,0,73.2,0.97,0.24,1.07,1.03,0.218
6.93,0.28,1,3.3,2.5,58,50,90,0.3,0.34,0.5,127,1.56,0,1,0,1,1.37,123.5,0,123.5,0.97,0.206,1.09,1.08,0.174
